WISE Name,Catalog,GLong,GLat,RA,Dec,Radius,HII Region,Membership,VLSR,VLSR (Mol.),Molecule,KDAR,Dist.,Err Dist.,Dist. Method,RGal,z
G303.872-00.792,C,303.872,-0.792,194.978,-63.648,150,,,,,,,,,,,
G303.872-00.377,C,303.872,-0.377,194.947,-63.233,63,,,,,,,,,,,
G303.893-00.055,C,303.893,-0.054,194.970,-62.910,554,,,,,,,,,,,
G303.894-00.966,C,303.894,-0.966,195.040,-63.821,179,,,,,,,,,,,
G303.896+00.407,C,303.896,0.408,194.944,-62.449,419,,,,,,,,,,,
G303.898+00.377,C,303.898,0.377,194.951,-62.479,68,,,,,,,,,,,
G303.915-00.735,C,303.915,-0.735,195.070,-63.590,372,,,,,,,,,,,
G303.915-00.688,Q,303.915,-0.687,195.066,-63.542,16,,,,,,,,,,,
G303.919-00.687,C,303.919,-0.687,195.075,-63.541,38,,,,30.6,90GHz,F,12.4,01.2,OG (Mol)/Kin,10.4,-149
G303.924-00.428,C,303.924,-0.428,195.067,-63.283,308,,,,,,,,,,,
G303.924-00.686,Q,303.924,-0.685,195.086,-63.540,16,,,,30.6,90GHz,F,12.4,01.2,OG (Mol)/Kin,10.4,-148
G303.938-00.690,C,303.938,-0.690,195.118,-63.544,25,,,,30.6,90GHz,F,12.4,01.2,OG (Mol)/Kin,10.4,-149
G303.939-00.684,C,303.939,-0.683,195.120,-63.537,26,,,,30.6,90GHz,F,12.4,01.2,OG (Mol)/Kin,10.4,-148
G303.951-00.259,C,303.951,-0.258,195.113,-63.112,175,,,,,,,,,,,
G303.965-01.051,C,303.965,-1.051,195.208,-63.903,80,,,,,,,,,,,
G303.973-00.035,C,303.973,-0.035,195.144,-62.888,119,,,,,,,,,,,
G303.997+00.279,C,303.997,0.279,195.172,-62.573,27,,,,-28.9,13CO,,,,,07.4,
G304.017-00.590,C,304.017,-0.589,195.287,-63.441,92,,,,,,,,,,,
G304.018+00.277,Q,304.018,0.277,195.218,-62.575,26,,,,,,,,,,,
G304.021+00.450,Q,304.021,0.450,195.211,-62.401,108,,,,,,,,,,,
G304.034+00.290,C,304.034,0.290,195.252,-62.561,109,,,,,,,,,,,
G304.069+00.114,Q,304.069,0.115,195.342,-62.735,85,,,,,,,,,,,
G304.087+00.432,Q,304.087,0.433,195.355,-62.416,44,,,,-45.8,NH3,T,04.8,00.1,TP/Kin (Mol),07.0,0036
G304.101+00.266,Q,304.101,0.266,195.399,-62.583,22,,,,,,,,,,,
G304.165+00.248,Q,304.165,0.248,195.539,-62.598,24,,,,,,,,,,,
G304.167+00.260,Q,304.167,0.260,195.543,-62.586,29,,,,,,,,,,,
G304.190+01.358,?,304.190,1.358,195.495,-61.488,50,,,,,,,,,,,
G304.206+01.351,?,304.206,1.351,195.530,-61.494,65,,,,,,,,,,,
G304.206+01.351,?,304.207,1.352,195.531,-61.493,76,,,,,,,,,,,
G304.208+01.351,?,304.208,1.351,195.534,-61.494,51,,,,,,,,,,,
G304.264-00.393,C,304.264,-0.392,195.818,-63.233,99,,,,,,,,,,,
G304.288-00.300,Q,304.288,-0.300,195.862,-63.140,38,,,,,,,,,,,
G304.304-00.145,C,304.304,-0.144,195.881,-62.984,287,,,,,,,,,,,
G304.317+00.600,C,304.317,0.601,195.834,-62.239,263,,,,,,,,,,,
G304.374-00.968,C,304.374,-0.967,196.127,-63.802,697,,,,,,,,,,,
G304.465-00.023,C,304.465,-0.022,196.221,-62.854,143,,,,,,,,,,,
G304.512+00.626,C,304.512,0.626,196.249,-62.204,255,,,,,,,,,,,
G304.557+00.329,C,304.557,0.329,196.380,-62.498,71,,,,-43.2,NH3,T,04.8,00.1,TP/Kin (Mol),07.0,0027
G304.573+00.716,C,304.573,0.716,196.369,-62.111,80,,,,,,,,,,,
G304.584+00.580,C,304.584,0.581,196.409,-62.245,32,,,,-22.7,CS,,,,,07.6,
G304.657-01.158,Q,304.658,-1.157,196.795,-63.976,56,,,,,,,,,,,
G304.674-00.859,C,304.674,-0.858,196.790,-63.677,504,,,,,,,,,,,
G304.770+01.346,?,304.770,1.346,196.709,-61.470,61,,,,-27.1,CS,,,,,07.5,
G304.797-00.164,Q,304.797,-0.163,196.967,-62.976,39,,,,,,,,,,,
G304.799+00.581,Q,304.799,0.581,196.869,-62.232,41,,,,,,,,,,,
G304.806+01.399,C,304.806,1.399,196.778,-61.415,80,,,,,,,,,,,
G304.806+00.669,Q,304.806,0.669,196.873,-62.144,86,,,,,,,,,,,
G304.864+00.243,Q,304.864,0.243,197.056,-62.565,99,,,,,,,,,,,
G304.909+00.378,Q,304.909,0.378,197.134,-62.428,119,,,,,,,,,,,
G304.925+00.555,C,304.925,0.556,197.144,-62.250,174,,,,-34.4,CS,T,04.9,01.8,TP/Kin (Mol),07.2,0047
G305.037+00.202,G,305.037,0.202,197.437,-62.595,229,,G305.202+00.022,,,,,,,,,
G305.056+00.372,G,305.056,0.373,197.452,-62.423,558,,G305.202+00.022,,,,,,,,,
G305.063-00.324,G,305.063,-0.324,197.577,-63.117,283,,G305.173-00.368,,,,,,,,,
G305.196+00.034,G,305.196,0.035,197.809,-62.750,27,,G305.202+00.022,,-35.6,CS,,,,,,
G305.200+00.021,G,305.200,0.022,197.820,-62.762,27,,G305.202+00.022,,-35.6,CS,,,,,,
G305.200+00.207,G,305.200,0.208,197.789,-62.577,27,,G305.202+00.022,,-40.8,90GHz,T,04.9,00.6,TP/Kin (Mol),07.0,0017
G305.201+00.009,G,305.201,0.009,197.824,-62.775,27,,G305.202+00.022,,-37.2,13CO,T,04.9,01.5,TP/Kin (Mol),07.1,
G305.215+00.199,G,305.215,0.200,197.823,-62.584,27,,G305.202+00.022,,-41.0,CS,T,04.9,00.6,TP/Kin (Mol),07.0,0017
G305.224+00.212,K,305.224,0.213,197.840,-62.570,121,G305.254+00.204,,-39.0,-36.2,13CO,T,04.9,01.1,TP/Kin,07.0,0018
G305.229-00.144,Q,305.229,-0.144,197.912,-62.925,52,,,,,,,,,,,
G305.233+00.110,K,305.233,0.110,197.877,-62.672,678,G305.202+00.022,G305.202+00.022,-40.0,,,T,04.9,00.9,TP/Kin,07.0,0009
G305.249-00.018,G,305.249,-0.017,197.933,-62.798,27,,G305.202+00.022,,-32.5,90GHz,,,,,,
G305.259+00.290,G,305.259,0.291,197.903,-62.490,27,,G305.202+00.022,,,,,,,,,
G305.261+00.243,K,305.261,0.244,197.915,-62.536,125,G305.254+00.204,,-39.0,-40.9,13CO,T,04.9,01.1,TP/Kin,07.0,0020
G305.265-00.008,G,305.265,-0.007,197.967,-62.786,88,,G305.202+00.022,,-32.5,90GHz,F,07.0,01.1,HIEA/Kin,07.3,
G305.272+00.164,K,305.272,0.165,197.952,-62.615,90,G305.254+00.204,,-39.0,,,T,04.9,01.1,TP/Kin,07.0,0014
G305.277+00.290,G,305.277,0.291,197.941,-62.489,60,,G305.202+00.022,,,,,,,,,
G305.305+00.073,G,305.305,0.073,198.040,-62.703,116,,G305.202+00.022,,,,,,,,,
G305.322-00.255,K,305.322,-0.255,198.135,-63.029,808,G305.173-00.368,G305.173-00.368,-45.0,,,T,04.9,00.1,TP/Kin,06.9,-021
G305.352+00.222,G,305.352,0.223,198.115,-62.550,55,,G305.202+00.022,,-39.0,13CO,T,04.9,01.2,TP/Kin (Mol),07.0,0019
